direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
42.06228654164393,1769.23597449411,11,10,5,255.0,4005,190.71428571428572,130.45055361620936,345,15,27.0,22.714285714285715,12.936264483053453,42,2,safe
201.41220129763533,2049.330582927025,10,8,2,240.0,3555,197.5,114.04494727957044,345,15,17.0,20.61111111111111,14.79541553953975,47,2,unsafe
235.3610503545358,2128.128816519723,5,5,5,195.0,1890,189.0,113.08846094982458,330,15,37.0,27.5,17.09532099727876,47,2,unsafe
235.3610503545358,1952.3928043406265,10,8,3,240.0,3495,194.16666666666666,116.1327066573218,345,15,14.5,20.055555555555557,14.82667349453613,47,2,unsafe
233.21234958723784,1272.3209778978242,6,6,2,157.5,2100,175.0,122.83118496538246,330,30,29.5,27.416666666666668,17.495038979347513,47,2,safe
0.0,2138.983015720182,7,10,3,75.0,2490,146.47058823529412,111.72135382125468,315,15,27.0,25.235294117647058,16.53349332065317,47,2,unsafe
122.58874336577558,1733.8277450427242,10,11,3,105.0,3510,167.14285714285714,138.50882238164837,345,15,22.0,22.714285714285715,15.681784571500105,47,2,unsafe
69.75590131464732,1838.9566445815904,10,7,5,255.0,3540,208.23529411764707,129.12535150536507,345,15,27.0,25.529411764705884,12.921107433228704,42,2,safe
87.02449603613024,1950.0392888765728,5,6,4,120.0,1740,158.1818181818182,104.97343229409671,285,30,27.0,26.545454545454547,11.57083823759805,47,7,safe
52.783954494962046,1969.0806478706802,7,10,4,90.0,2625,154.41176470588235,130.23601147578617,345,15,32.0,31.41176470588235,12.11250604822,47,12,safe
20.0,2085.179409065265,5,4,3,255.0,1785,198.33333333333334,109.03618155864083,315,15,27.0,28.11111111111111,16.29208699846131,47,2,unsafe
40.0,1334.7919427921925,7,8,3,120.0,2550,170.0,124.85992151206888,330,15,17.0,17.666666666666668,10.780641085864152,37,2,unsafe
114.07529236513209,995.8875468707358,6,4,2,262.5,2160,216.0,106.74268124794318,330,45,19.5,20.0,11.224972160321824,37,7,safe
146.402635769407,2332.101741883283,12,13,8,105.0,4305,172.2,126.50754918185713,345,15,12.0,15.6,12.451505933018705,47,2,unsafe
201.41220129763533,1929.241643680444,8,10,3,97.5,2835,157.5,114.70069746954462,330,15,17.0,20.055555555555557,12.924877915702048,47,2,unsafe
269.48612805935187,1319.3128886660757,6,5,1,285.0,2205,200.45454545454547,117.98410034358145,345,30,27.0,23.363636363636363,13.666633071248098,42,7,safe
201.41220129763533,2225.5230797024055,11,10,3,240.0,3855,183.57142857142858,132.5495671630128,345,15,27.0,24.61904761904762,13.68167418910347,42,2,safe
40.0,1808.5288582820865,9,10,7,105.0,3255,171.31578947368422,136.64053980833643,345,15,22.0,21.736842105263158,13.810149224633607,47,2,unsafe
146.402635769407,1446.5369240865193,3,5,2,90.0,1050,131.25,116.37090486887176,315,15,32.0,28.25,14.523687548277813,47,2,safe
18.41187295745632,1363.5877524438456,7,10,2,60.0,2550,150.0,122.40242212136356,315,15,22.0,23.470588235294116,13.36860962042766,47,7,safe
167.6622457812031,2389.136989816419,9,9,2,172.5,3270,181.66666666666666,116.06990230986767,345,15,22.0,21.444444444444443,14.614384931073229,47,2,safe
20.0,2142.3291512924975,8,10,4,105.0,2910,161.66666666666666,121.60957564636466,330,15,19.5,20.333333333333332,12.583057392117917,47,2,safe
25.43772910137012,2188.4595780259397,7,6,8,240.0,2475,190.3846153846154,113.07692307692308,345,45,17.0,21.23076923076923,13.984353048229108,47,2,safe
239.43738967899466,1764.6168737934595,8,9,5,105.0,2910,171.1764705882353,120.11672523699978,345,15,27.0,24.941176470588236,14.956684864813083,47,2,unsafe
84.5803907040383,1475.7596318834073,10,8,4,277.5,3585,199.16666666666666,127.75029897768884,330,15,17.0,21.444444444444443,13.11158191245105,47,2,safe
55.195635650759584,1539.8973251386728,7,8,2,105.0,2535,169.0,127.92185114357906,345,15,17.0,23.0,13.19090595827292,47,7,safe
143.78439777343905,1710.434268672065,10,5,2,285.0,3525,235.0,104.7377677822093,345,60,17.0,20.666666666666668,14.996295838935989,47,2,safe
74.02204643285917,1721.349200085449,7,8,2,105.0,2505,167.0,128.3199127181748,345,15,22.0,25.0,14.46835627614047,47,2,safe
177.5049295090139,1832.1345333392023,7,6,2,255.0,2505,192.69230769230768,116.61269532113204,330,30,27.0,23.923076923076923,14.746376548216011,47,2,unsafe
303.72804020842824,1323.334547262338,7,5,2,285.0,2565,213.75,118.76315716584837,345,30,22.0,23.25,15.827849927685483,47,2,unsafe
235.3610503545358,1862.8010529047558,7,6,4,240.0,2430,186.92307692307693,110.94937274995955,345,15,27.0,23.923076923076923,13.803352649943355,47,7,safe
0.0,1570.647233819034,9,7,7,262.5,3225,201.5625,134.57942299530788,345,15,32.0,29.5,12.24744871391589,42,7,safe
70.3420215802759,1574.3480268848753,4,3,2,270.0,1425,203.57142857142858,106.02271608731127,330,45,37.0,31.285714285714285,13.209458577790665,47,7,safe
95.85405573057407,2450.645980800059,16,17,6,105.0,5670,171.8181818181818,131.39587525131012,345,15,12.0,14.878787878787879,11.614404785901092,47,2,unsafe
122.58874336577558,897.3396836020765,8,9,3,105.0,2790,164.11764705882354,128.26025121417194,345,15,12.0,17.294117647058822,11.690945243736348,37,2,unsafe
120.09649018010694,1831.2810886436312,9,9,2,172.5,3255,180.83333333333334,117.84229103151192,345,30,22.0,21.72222222222222,13.69024614483512,47,2,safe
232.27383579670447,2178.6470033514847,8,10,2,90.0,2820,156.66666666666666,119.18706119187415,345,15,22.0,23.38888888888889,14.02433951262704,47,2,safe
31.294689322266162,1452.9757044512207,10,4,5,322.5,3570,255.0,117.70119552736679,345,45,29.5,25.214285714285715,14.092442612106327,47,2,safe
233.21234958723784,1301.101752695448,6,6,4,172.5,2085,173.75,123.45925441213389,345,15,27.0,27.416666666666668,11.078946500256942,47,7,safe
20.0,1432.7462127984313,8,8,2,172.5,2910,181.875,134.77846406232712,345,30,29.5,25.125,13.678792892649556,42,2,safe
30.94478023301919,1628.5301537206442,9,7,2,262.5,3345,209.0625,115.76132166552868,345,60,14.5,18.875,11.842059575935261,42,2,safe
84.5803907040383,1519.9935840249038,5,6,3,90.0,1845,167.72727272727272,134.74493811311592,345,15,27.0,28.818181818181817,16.134763044817134,47,2,safe
116.95242560145618,1445.388953611897,3,5,2,90.0,1080,135.0,95.75359001102778,285,30,39.5,33.875,11.162856937182346,47,17,safe
69.36083649386055,1980.5171500081512,8,10,2,90.0,2925,162.5,127.5,345,15,22.0,21.166666666666668,11.931517552730295,47,2,safe
239.43738967899466,1777.0332583369052,6,4,1,255.0,2085,208.5,97.31520949985156,330,60,29.5,29.5,12.893796958227627,47,12,safe
104.96798730047034,104.96798730047034,1,1,0,195.0,390,195.0,105.0,300,90,17.0,17.0,10.0,27,7,safe
35.761961271441095,1944.3516413466784,12,12,4,187.5,4335,180.625,130.2266653761817,345,15,19.5,20.125,14.054395812935775,47,2,safe
50.6990755072082,1846.9884626322191,8,5,3,300.0,2835,218.07692307692307,127.09079827397876,345,30,22.0,24.307692307692307,15.764539639937844,47,2,safe
88.31123842161416,2487.1145470822157,11,8,3,270.0,3915,206.05263157894737,117.99396669866354,345,30,27.0,21.473684210526315,15.034586165353367,47,2,safe
20.0,1434.46382486435,6,6,5,180.0,2175,181.25,116.42460006373223,345,30,17.0,21.583333333333332,14.355360980793513,47,2,safe
201.41220129763533,2094.395572456447,11,10,2,240.0,3915,186.42857142857142,109.50258593535868,345,15,17.0,16.761904761904763,9.446111630893988,32,2,safe
52.783954494962046,1581.205362998486,4,3,2,255.0,1395,199.28571428571428,102.58893603073564,330,60,22.0,24.857142857142858,15.084794344244912,47,2,safe
269.48612805935187,1670.5872122834037,6,7,2,120.0,2265,174.23076923076923,108.41242750658165,330,45,22.0,23.53846153846154,16.098807335735653,47,2,safe
