Model,Split,Training Accuracy,Test Accuracy,Cross-Validation,Precision Safe,Precision Unsafe,Recall Safe,Recall Unsafe,F-Measure Safe,F-Measure Unsafe,Cros Precision Safe,Cros Precision Unsafe,Cros Recall Safe,Cros Recall Unsafe,Cros F-Measure Safe,Cros F-Measure Unsafe,TPos Safe,TNeg Safe,FPos Safe,FNeg Safe,TPos Unsafe,TNeg Unsafe,FPos Unsafe,FNeg Unsafe,Cros TPos Safe,Cros TNeg Safe,Cros FPos Safe,Cros FNeg Safe,Cros TPos Unsafe,Cros TNeg Unsafe,Cros FPos Unsafe,Cros FNeg Unsafe,Total Number

j48,0.4,88.10226155358899,64.82412060301507,67.39892929665866,0.600358422939068,0.695143358689292,0.6585845347313237,0.6397415185783522,0.628125,0.6662927650028043,0.6527723161620134,0.6927627000695894,0.6527723161620134,0.6927627000695894,0.6527723161620134,0.6927627000695894,1005.0,1188.0,669.0,521.0,1188.0,1005.0,521.0,669.0,1660.0,1991.0,883.0,883.0,1991.0,1660.0,883.0,883.0,5417
naiveBayes,0.4,67.40412979351032,68.28258941767662,67.25124607716448,0.6122954883490332,0.7869692532942899,0.809305373525557,0.5788906838987614,0.6971493084956253,0.6670803599131244,0.6088310217945089,0.7919320594479831,0.8458513566653558,0.5191370911621433,0.7080315997366688,0.6271542664985288,1235.0,1075.0,782.0,291.0,1075.0,1235.0,291.0,782.0,2151.0,1492.0,1382.0,392.0,1492.0,2151.0,392.0,1382.0,5417
logistic,0.4,72.22222222222223,71.38634348211646,71.99556950341517,0.6531284302963776,0.7847533632286996,0.7798165137614679,0.6596661281637048,0.7108721624850657,0.716793446459918,0.6817859673990078,0.7614643545279384,0.7565867086118757,0.6875434933890049,0.7172413793103448,0.7226183945876761,1190.0,1225.0,632.0,336.0,1225.0,1190.0,336.0,632.0,1924.0,1976.0,898.0,619.0,1976.0,1924.0,619.0,898.0,5417
randomForest,0.4,100.0,69.90836535619273,70.83256414989847,0.6404867256637168,0.7663492063492063,0.7588466579292268,0.6499730748519117,0.6946610677864428,0.7033799533799534,0.6742671009771987,0.7437829691032404,0.732599292174597,0.6868475991649269,0.7022238974745572,0.7141823444283646,1158.0,1207.0,650.0,368.0,1207.0,1158.0,368.0,650.0,1863.0,1974.0,900.0,680.0,1974.0,1863.0,680.0,900.0,5417

j48,0.5,88.43430369787569,66.87943262411348,66.09474076837002,0.7260677466863034,0.615595075239398,0.6369509043927648,0.7075471698113207,0.6785960082587749,0.6583760058522312,0.6789417232749374,0.6413255360623782,0.6736431358637814,0.6468737711364531,0.6762820512820512,0.644087705559906,986.0,900.0,372.0,562.0,900.0,986.0,562.0,372.0,1899.0,1645.0,898.0,920.0,1645.0,1899.0,920.0,898.0,5362
naiveBayes,0.5,69.27616050354052,64.9290780141844,67.25102573666543,0.7896373056994819,0.5762803234501348,0.49224806201550386,0.8404088050314465,0.6064464783127735,0.6837224176527024,0.786214324178783,0.6122681883024251,0.5179141539553033,0.8438851749901691,0.6244653550042771,0.7096560846560847,762.0,1069.0,203.0,786.0,1069.0,762.0,786.0,203.0,1460.0,2146.0,397.0,1359.0,2146.0,1460.0,1359.0,397.0,5362
logistic,0.5,72.73800157356412,71.17021276595744,72.23051100335695,0.788235294117647,0.6485436893203883,0.6492248062015504,0.7877358490566038,0.7120085015940488,0.7113951011714589,0.7647292993630573,0.6849122807017544,0.6814473217452998,0.7675973259929217,0.7206903020071281,0.723901353606527,1005.0,1002.0,270.0,543.0,1002.0,1005.0,543.0,270.0,1921.0,1952.0,591.0,898.0,1952.0,1921.0,898.0,591.0,5362
randomForest,0.5,100.0,70.2482269503546,70.71988064155165,0.7683573050719152,0.6444296197464977,0.6556847545219638,0.7594339622641509,0.7075636110142907,0.6972212197762541,0.7357493393733484,0.6793217840029487,0.6913799219581411,0.7247345654738497,0.712874908558888,0.7012937595129376,1015.0,966.0,306.0,533.0,966.0,1015.0,533.0,306.0,1949.0,1843.0,700.0,870.0,1843.0,1949.0,870.0,700.0,5362

j48,0.6,86.91803278688525,66.75531914893617,67.32001507727101,0.7355212355212355,0.6098360655737705,0.6155088852988692,0.730844793713163,0.6701846965699207,0.6648793565683645,0.687842278203724,0.6575769380599922,0.6818675352877307,0.6637829335430594,0.6848418756815704,0.660665362035225,762.0,744.0,274.0,476.0,744.0,762.0,476.0,274.0,1884.0,1688.0,855.0,879.0,1688.0,1884.0,879.0,855.0,5306
