Model,Split,Training Accuracy,Test Accuracy,Cross-Validation,Precision Safe,Precision Unsafe,Recall Safe,Recall Unsafe,F-Measure Safe,F-Measure Unsafe,Cros Precision Safe,Cros Precision Unsafe,Cros Recall Safe,Cros Recall Unsafe,Cros F-Measure Safe,Cros F-Measure Unsafe,TPos Safe,TNeg Safe,FPos Safe,FNeg Safe,TPos Unsafe,TNeg Unsafe,FPos Unsafe,FNeg Unsafe,Cros TPos Safe,Cros TNeg Safe,Cros FPos Safe,Cros FNeg Safe,Cros TPos Unsafe,Cros TNeg Unsafe,Cros FPos Unsafe,Cros FNeg Unsafe,Total Number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j48,0.8,97.45762712,90.75144509,91.81034483,0.282051282,0.986970684,0.733333333,0.915407855,0.407407407,0.94984326,0.736842105,0.953608247,0.756756757,0.948717949,0.746666667,0.951156812,11,303,28,4,303,11,4,28,56,370,20,18,370,56,18,20,464
naiveBayes,0.8,85.59322034,93.35260116,90.73275862,0.366666667,0.987341772,0.733333333,0.942598187,0.488888889,0.964451314,0.696202532,0.950649351,0.743243243,0.938461538,0.718954248,0.944516129,11,312,19,4,312,11,4,19,55,366,24,19,366,55,19,24,464
logistic,0.8,89.83050847,83.23699422,91.37931034,0.197183099,0.996363636,0.933333333,0.827794562,0.325581395,0.904290429,0.757575758,0.939698492,0.675675676,0.958974359,0.714285714,0.949238579,14,274,57,1,274,14,1,57,50,374,16,24,374,50,24,16,464
randomForest,0.8,100,92.77456647,93.75,0.368421053,0.996753247,0.933333333,0.927492447,0.528301887,0.960876369,0.826086957,0.956962025,0.77027027,0.969230769,0.797202797,0.963057325,14,307,24,1,307,14,1,24,57,378,12,17,378,57,17,12,464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j48,0.6,97.72727273,79.62427746,95.38461538,0.146496815,0.986915888,0.766666667,0.797583082,0.245989305,0.882205514,0.806451613,0.966573816,0.675675676,0.983002833,0.735294118,0.974719101,23,528,134,7,528,23,7,134,50,694,12,24,694,50,24,12,780
naiveBayes,0.6,84.09090909,91.32947977,92.69230769,0.302631579,0.988636364,0.766666667,0.919939577,0.433962264,0.953051643,0.589473684,0.973722628,0.756756757,0.944759207,0.662721893,0.959022286,23,609,53,7,609,23,7,53,56,667,39,18,667,56,18,39,780
logistic,0.6,93.18181818,82.65895954,95.25641026,0.178571429,0.990942029,0.833333333,0.826283988,0.294117647,0.901153213,0.776119403,0.96914446,0.702702703,0.978753541,0.737588652,0.9739253,25,547,115,5,547,25,5,115,52,691,15,22,691,52,22,15,780
randomForest,0.6,100,89.16184971,95.8974359,0.268041237,0.993277311,0.866666667,0.892749245,0.409448819,0.940334129,0.875,0.965469613,0.662162162,0.990084986,0.753846154,0.977622378,26,591,71,4,591,26,4,71,49,699,7,25,699,49,25,7,780
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j48,0.4,96.55172414,80.92485549,95.25547445,0.16,0.988929889,0.8,0.809667674,0.266666667,0.890365449,0.666666667,0.970873786,0.594594595,0.978473581,0.628571429,0.974658869,36,804,189,9,804,36,9,189,44,1000,22,30,1000,44,30,22,1096
naiveBayes,0.4,89.65517241,89.59537572,93.24817518,0.266666667,0.990033223,0.8,0.900302115,0.4,0.943037975,0.5,0.979757085,0.72972973,0.947162427,0.593406593,0.96318408,36,894,99,9,894,36,9,99,54,968,54,20,968,54,20,54,1096
logistic,0.4,100,79.76878613,95.89416058,0.163265306,0.99369483,0.888888889,0.793554884,0.275862069,0.882418813,0.745762712,0.971070395,0.594594595,0.985322896,0.661654135,0.97814473,40,788,205,5,788,40,5,205,44,1007,15,30,1007,44,30,15,1096
randomForest,0.4,100,82.75529865,96.25912409,0.186915888,0.993932039,0.888888889,0.824773414,0.308880309,0.901485966,0.789473684,0.972088547,0.608108108,0.988258317,0.687022901,0.980106744,40,819,174,5,819,40,5,174,45,1010,12,29,1010,45,29,12,1096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j48,0.5,100,84.04624277,95.42066028,0.201183432,0.995689655,0.918918919,0.836956522,0.330097087,0.909448819,0.738461538,0.970251716,0.648648649,0.980346821,0.690647482,0.975273145,34,693,135,3,693,34,3,135,48,848,17,26,848,48,26,17,939
naiveBayes,0.5,94.59459459,85.20231214,92.75825346,0.206451613,0.992957746,0.864864865,0.851449275,0.333333333,0.916775033,0.528846154,0.977245509,0.743243243,0.943352601,0.617977528,0.96,32,705,123,5,705,32,5,123,55,816,49,19,816,55,19,49,939
logistic,0.5,100,82.42774566,95.10117146,0.16374269,0.9870317,0.756756757,0.827294686,0.269230769,0.900131406,0.733333333,0.965870307,0.594594595,0.98150289,0.656716418,0.973623853,28,685,143,9,685,28,9,143,44,849,16,30,849,44,30,16,939
randomForest,0.5,100,86.3583815,96.27263046,0.228187919,0.995810056,0.918918919,0.861111111,0.365591398,0.92357513,0.819672131,0.972665148,0.675675676,0.987283237,0.740740741,0.979919679,34,713,115,3,713,34,3,115,50,854,11,24,854,50,24,11,939
