Model,Split,Training Accuracy,Test Accuracy,Cross-Validation,Precision Safe,Precision Unsafe,Recall Safe,Recall Unsafe,F-Measure Safe,F-Measure Unsafe,Cros Precision Safe,Cros Precision Unsafe,Cros Recall Safe,Cros Recall Unsafe,Cros F-Measure Safe,Cros F-Measure Unsafe,TPos Safe,TNeg Safe,FPos Safe,FNeg Safe,TPos Unsafe,TNeg Unsafe,FPos Unsafe,FNeg Unsafe,Cros TPos Safe,Cros TNeg Safe,Cros FPos Safe,Cros FNeg Safe,Cros TPos Unsafe,Cros TNeg Unsafe,Cros FPos Unsafe,Cros FNeg Unsafe,Total Number

j48,0.8,71.41148325358851,44.13854351687389,57.86275911365261,0.8287671232876712,0.19476744186046513,0.39585605234460197,0.6411483253588517,0.5357933579335794,0.2987736900780379,0.6348684210526315,0.4,0.7706788362806617,0.25645933014354066,0.6962123164132955,0.3125364431486881,363.0,134.0,75.0,554.0,134.0,363.0,554.0,75.0,1351.0,268.0,777.0,402.0,268.0,1351.0,402.0,777.0,2798
naiveBayes,0.8,53.110047846889955,38.80994671403197,49.642601858470336,0.8584905660377359,0.20297029702970298,0.29770992366412213,0.784688995215311,0.4421052631578948,0.32251720747295964,0.668958742632613,0.39775280898876403,0.3884768967484313,0.6775119617224881,0.4915193071093469,0.5012389380530974,273.0,164.0,45.0,644.0,164.0,273.0,644.0,45.0,681.0,708.0,337.0,1072.0,708.0,681.0,1072.0,337.0,2798
logistic,0.8,57.057416267942585,56.30550621669627,62.43745532523231,0.8500823723228995,0.22736030828516376,0.5627044711014176,0.5645933014354066,0.6771653543307087,0.32417582417582413,0.6353122590593677,0.4852941176470588,0.9401026811180833,0.09473684210526316,0.7582240625718886,0.15852682145716573,516.0,118.0,91.0,401.0,118.0,516.0,401.0,91.0,1648.0,99.0,946.0,105.0,99.0,1648.0,105.0,946.0,2798
randomForest,0.8,100.0,57.19360568383659,60.43602573266619,0.8436018957345972,0.2231237322515213,0.5823336968375137,0.5263157894736842,0.6890322580645162,0.3133903133903134,0.636980491942324,0.42954545454545456,0.8568168853394181,0.18086124401913875,0.730722451958161,0.2545454545454545,534.0,110.0,99.0,383.0,110.0,534.0,383.0,99.0,1502.0,189.0,856.0,251.0,189.0,1502.0,251.0,856.0,2798

j48,0.6,70.57416267942584,39.07637655417407,66.1437535653166,0.8478915662650602,0.1996221662468514,0.306979280261723,0.7583732057416268,0.4507606084867894,0.3160518444666002,0.7069525666016894,0.3341121495327103,0.8841934173100365,0.1368421052631579,0.785701390142625,0.1941615750169722,563.0,317.0,101.0,1271.0,317.0,563.0,1271.0,101.0,2176.0,143.0,902.0,285.0,143.0,2176.0,285.0,902.0,3506
naiveBayes,0.6,53.588516746411486,47.42451154529307,56.70279520821449,0.8635346756152126,0.21796759941089838,0.42093784078516905,0.7081339712918661,0.5659824046920822,0.3333333333333333,0.7372924006039255,0.34430546412113233,0.5952864689150752,0.5004784688995215,0.6587230215827339,0.4079563182527301,772.0,296.0,122.0,1062.0,296.0,772.0,1062.0,122.0,1465.0,523.0,522.0,996.0,523.0,1465.0,996.0,522.0,3506
logistic,0.6,56.45933014354067,56.749555950266426,69.9657729606389,0.8518821603927987,0.23009708737864076,0.5676117775354417,0.5669856459330144,0.681282722513089,0.32734806629834257,0.7027649769585254,0.38235294117647056,0.9914668833807395,0.012440191387559809,0.8225181189954491,0.024096385542168672,1041.0,237.0,181.0,793.0,237.0,1041.0,793.0,181.0,2440.0,13.0,1032.0,21.0,13.0,2440.0,21.0,1032.0,3506
randomForest,0.6,100.0,55.284191829484904,69.79463776383344,0.8403292181069959,0.21600771456123433,0.5567066521264995,0.5358851674641149,0.6697277795998688,0.3079037800687285,0.7097546379413525,0.4573170731707317,0.9638358390898009,0.07177033492822966,0.8175081854213337,0.1240694789081886,1021.0,224.0,194.0,813.0,224.0,1021.0,813.0,194.0,2372.0,75.0,970.0,89.0,75.0,2372.0,89.0,970.0,3506

j48,0.5,81.32183908045977,47.62073863636363,68.39378238341969,0.8341503267973857,0.20100502512562815,0.44526820758831226,0.6118546845124283,0.580608473130509,0.3026004728132388,0.7342143906020558,0.3076923076923077,0.8880994671403197,0.1339712918660287,0.8038585209003216,0.18666666666666665,1021.0,320.0,203.0,1272.0,320.0,1021.0,1272.0,203.0,2500.0,140.0,905.0,315.0,140.0,2500.0,315.0,905.0,3860
