Model,Split,Training Accuracy,Test Accuracy,Cross-Validation,Precision Safe,Precision Unsafe,Recall Safe,Recall Unsafe,F-Measure Safe,F-Measure Unsafe,Cros Precision Safe,Cros Precision Unsafe,Cros Recall Safe,Cros Recall Unsafe,Cros F-Measure Safe,Cros F-Measure Unsafe,TPos Safe,TNeg Safe,FPos Safe,FNeg Safe,TPos Unsafe,TNeg Unsafe,FPos Unsafe,FNeg Unsafe,Cros TPos Safe,Cros TNeg Safe,Cros FPos Safe,Cros FNeg Safe,Cros TPos Unsafe,Cros TNeg Unsafe,Cros FPos Unsafe,Cros FNeg Unsafe,Total Number

J48,0.6,96.66666666666667,56.75675675675676,55.223880597014926,0.7272727272727273,0.3333333333333333,0.6153846153846154,0.45454545454545453,0.6666666666666667,0.3846153846153846,0.6122448979591837,0.3888888888888889,0.7317073170731707,0.2692307692307692,0.6666666666666666,0.3181818181818182,16.0,5.0,6.0,10.0,5.0,16.0,10.0,6.0,30.0,7.0,19.0,11.0,7.0,30.0,11.0,19.0,67
NaiveBayes,0.6,70.0,51.351351351351354,52.23880597014925,0.7,0.29411764705882354,0.5384615384615384,0.45454545454545453,0.608695652173913,0.35714285714285715,0.6363636363636364,0.4117647058823529,0.5121951219512195,0.5384615384615384,0.5675675675675675,0.4666666666666667,14.0,5.0,6.0,12.0,5.0,14.0,12.0,6.0,21.0,14.0,12.0,20.0,14.0,21.0,20.0,12.0,67
Logistic,0.6,100.0,59.45945945945946,61.19402985074627,0.7037037037037037,0.3,0.7307692307692307,0.2727272727272727,0.7169811320754716,0.28571428571428564,0.7027027027027027,0.5,0.6341463414634146,0.5769230769230769,0.6666666666666667,0.5357142857142857,19.0,3.0,8.0,7.0,3.0,19.0,7.0,8.0,26.0,15.0,11.0,15.0,15.0,26.0,15.0,11.0,67
RandomForest,0.6,100.0,56.75675675675676,52.23880597014925,0.6923076923076923,0.2727272727272727,0.6923076923076923,0.2727272727272727,0.6923076923076923,0.2727272727272727,0.5882352941176471,0.3125,0.7317073170731707,0.19230769230769232,0.6521739130434783,0.2380952380952381,18.0,3.0,8.0,8.0,3.0,18.0,8.0,8.0,30.0,5.0,21.0,11.0,5.0,30.0,11.0,21.0,67

J48,0.8,97.5,52.63157894736842,59.32203389830509,0.7,0.3333333333333333,0.5384615384615384,0.5,0.608695652173913,0.4,0.6451612903225806,0.5357142857142857,0.6060606060606061,0.5769230769230769,0.625,0.5555555555555555,7.0,3.0,3.0,6.0,3.0,7.0,6.0,3.0,20.0,15.0,11.0,13.0,15.0,20.0,13.0,11.0,59
NaiveBayes,0.8,70.0,73.6842105263158,55.932203389830505,0.9,0.5555555555555556,0.6923076923076923,0.8333333333333334,0.7826086956521738,0.6666666666666667,0.64,0.5,0.48484848484848486,0.6538461538461539,0.5517241379310344,0.5666666666666668,9.0,5.0,1.0,4.0,5.0,9.0,4.0,1.0,16.0,17.0,9.0,17.0,17.0,16.0,17.0,9.0,59
Logistic,0.8,80.0,63.1578947368421,61.016949152542374,0.875,0.45454545454545453,0.5384615384615384,0.8333333333333334,0.6666666666666667,0.5882352941176471,0.6388888888888888,0.5652173913043478,0.696969696969697,0.5,0.6666666666666666,0.5306122448979592,7.0,5.0,1.0,6.0,5.0,7.0,6.0,1.0,23.0,13.0,13.0,10.0,13.0,23.0,10.0,13.0,59
RandomForest,0.8,100.0,57.89473684210526,55.932203389830505,0.7272727272727273,0.375,0.6153846153846154,0.5,0.6666666666666667,0.42857142857142855,0.6,0.5,0.6363636363636364,0.46153846153846156,0.6176470588235293,0.48000000000000004,8.0,3.0,3.0,5.0,3.0,8.0,5.0,3.0,21.0,12.0,14.0,12.0,12.0,21.0,12.0,14.0,59
