Model,Split,Training Accuracy,Test Accuracy,Cross-Validation,Precision Safe,Precision Unsafe,Recall Safe,Recall Unsafe,F-Measure Safe,F-Measure Unsafe,Cros Precision Safe,Cros Precision Unsafe,Cros Recall Safe,Cros Recall Unsafe,Cros F-Measure Safe,Cros F-Measure Unsafe,TPos Safe,TNeg Safe,FPos Safe,FNeg Safe,TPos Unsafe,TNeg Unsafe,FPos Unsafe,FNeg Unsafe,Cros TPos Safe,Cros TNeg Safe,Cros FPos Safe,Cros FNeg Safe,Cros TPos Unsafe,Cros TNeg Unsafe,Cros FPos Unsafe,Cros FNeg Unsafe,Total Number

J48,0.8,90.0,68.42105263157895,55.932203389830505,0.8181818181818182,0.5,0.6923076923076923,0.6666666666666666,0.7500000000000001,0.5714285714285715,0.6206896551724138,0.5,0.5454545454545454,0.5769230769230769,0.5806451612903226,0.5357142857142857,9.0,4.0,2.0,4.0,4.0,9.0,4.0,2.0,18.0,15.0,11.0,15.0,15.0,18.0,15.0,11.0,59
NaiveBayes,0.8,67.5,57.89473684210526,61.016949152542374,0.7272727272727273,0.375,0.6153846153846154,0.5,0.6666666666666667,0.42857142857142855,0.7083333333333334,0.5428571428571428,0.5151515151515151,0.7307692307692307,0.5964912280701754,0.6229508196721311,8.0,3.0,3.0,5.0,3.0,8.0,5.0,3.0,17.0,19.0,7.0,16.0,19.0,17.0,16.0,7.0,59
Logistic,0.8,92.5,68.42105263157895,59.32203389830509,0.7333333333333333,0.5,0.8461538461538461,0.3333333333333333,0.7857142857142856,0.4,0.6363636363636364,0.5384615384615384,0.6363636363636364,0.5384615384615384,0.6363636363636364,0.5384615384615384,11.0,2.0,4.0,2.0,2.0,11.0,2.0,4.0,21.0,14.0,12.0,12.0,14.0,21.0,12.0,12.0,59
RandomForest,0.8,100.0,47.36842105263158,55.932203389830505,0.6363636363636364,0.25,0.5384615384615384,0.3333333333333333,0.5833333333333334,0.28571428571428575,0.5897435897435898,0.5,0.696969696969697,0.38461538461538464,0.638888888888889,0.4347826086956522,7.0,2.0,4.0,6.0,2.0,7.0,6.0,4.0,23.0,10.0,16.0,10.0,10.0,23.0,10.0,16.0,59

J48,0.5,92.3076923076923,33.333333333333336,52.11267605633803,0.5384615384615384,0.05263157894736842,0.4375,0.07692307692307693,0.4827586206896552,0.0625,0.3181818181818182,0.6122448979591837,0.2692307692307692,0.6666666666666666,0.2916666666666667,0.6382978723404255,14.0,1.0,12.0,18.0,1.0,14.0,18.0,12.0,7.0,30.0,15.0,19.0,30.0,7.0,19.0,15.0,71
NaiveBayes,0.5,76.92307692307692,40.0,61.971830985915496,0.6086956521739131,0.18181818181818182,0.4375,0.3076923076923077,0.5090909090909091,0.2285714285714286,0.4838709677419355,0.725,0.5769230769230769,0.6444444444444445,0.5263157894736842,0.6823529411764706,14.0,4.0,9.0,18.0,4.0,14.0,18.0,9.0,15.0,29.0,16.0,11.0,29.0,15.0,11.0,16.0,71
Logistic,0.5,100.0,31.11111111111111,56.33802816901409,0.5263157894736842,0.15384615384615385,0.3125,0.3076923076923077,0.39215686274509803,0.20512820512820515,0.4,0.6521739130434783,0.38461538461538464,0.6666666666666666,0.39215686274509803,0.6593406593406593,10.0,4.0,9.0,22.0,4.0,10.0,22.0,9.0,10.0,30.0,15.0,16.0,30.0,10.0,16.0,15.0,71
RandomForest,0.5,100.0,40.0,60.563380281690144,0.6470588235294118,0.25,0.34375,0.5384615384615384,0.4489795918367347,0.3414634146341463,0.4375,0.6545454545454545,0.2692307692307692,0.8,0.33333333333333337,0.7200000000000001,11.0,7.0,6.0,21.0,7.0,11.0,21.0,6.0,7.0,36.0,9.0,19.0,36.0,7.0,19.0,9.0,71
