Classifier,Dataset,Training,Test,Balanced Test,Crossvalidation,Safe Test Precision,Unsafe Test Preicision,Safe Test Recall,Unsafe Test Precision,Safe Test FMeasure,Unsafe Test FMeasure,Safe Balance Precision,Unsafe Balance Precision,Safe Balance Recall,Unsafe Balance Precision,Safe Balanced Fmeasure,Safe Balanced Fmeasure,data size
,,,,,,,,,,,,,,,,,,
J48,mix_complete_beam_driver,86.52004257,45.61278863,,66.48917288,0.783190777,0.157089425,0.459323882,0.442105263,0.579048666,0.23181134,,,,,,,11268
NaiveBayes,mix_complete_beam_driver,66.69031571,56.23445826,,56.51402201,0.794338052,0.149975333,0.624209378,0.290909091,0.699071812,0.197916667,,,,,,,11268
Logistic,mix_complete_beam_driver,72.22419298,45.48845471,,69.35569755,0.778267254,0.15175499,0.462377317,0.422009569,0.580106718,0.223234624,,,,,,,11268
RandomForest,mix_complete_beam_driver,100,43.85435169,,57.37486688,0.780314961,0.157605178,0.432279171,0.466028708,0.556350877,0.235550181,,,,,,,11268
,,,,,,,,,,,,,,,,,,
J48,mix_complete_driver_beam,84.31616341,44.46612274,,65.76144835,0.445995591,0.407216495,0.954777821,0.02552504,0.60798798,0.048038918,,,,,,,11268
NaiveBayes,mix_complete_driver_beam,65.98579041,34.67541681,,56.64714235,0.355842185,0.325415677,0.553283523,0.177059774,0.43312298,0.229336681,,,,,,,11268
Logistic,mix_complete_driver_beam,81.43872114,45.10464704,,69.36457224,0.45104647,NaN,1,0,0.621684391,NaN,,,,,,,11268
RandomForest,mix_complete_driver_beam,100,43.82759844,,57.48136315,0.432085329,0.465517241,0.780574125,0.157027464,0.55625613,0.234839333,,,,,,,11268
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
J48,0_8_combined.csv,71.62020906,53.58176556,59.61002786,66.04543841,0.914940828,0.172804533,0.514345114,0.679665738,0.658504126,0.275550536,0.615384615,0.582338902,0.512534819,0.679665738,0.559270517,0.627249357,11268
NaiveBayes,0_8_combined.csv,61.09756098,49.16787265,61.21169916,56.51402201,0.930663221,0.173736744,0.449272349,0.775766017,0.606001122,0.283893986,0.666666667,0.584470094,0.448467967,0.775766017,0.536219817,0.666666667,11268
Logistic,0_8_combined.csv,64.42508711,60.45586107,66.29526462,69.38232162,0.937041972,0.209422011,0.584823285,0.736768802,0.720174091,0.326140567,0.691176471,0.641990291,0.58913649,0.736768802,0.636090226,0.68612192,11268
RandomForest,0_8_combined.csv,87.03832753,55.73444284,56.61559889,57.47248846,0.89767755,0.161908487,0.554469854,0.576601671,0.685516001,0.252824427,0.567567568,0.564802183,0.555710306,0.576601671,0.561576355,0.570640937,11268
,,,,,,,,,,,,,,,,,,
J48,0_5_combined.csv,80.66202091,51.21201158,68.17548747,73.15406461,0.840257649,0.091621956,0.542411642,0.309192201,0.65925458,0.141356256,0.674698795,0.689404935,0.701949861,0.661559889,0.688054608,0.675195451,11268
NaiveBayes,0_5_combined.csv,62.94425087,48.78798842,63.37047354,58.47532836,0.918039713,0.165770326,0.451767152,0.729805014,0.605545493,0.270172725,0.695121951,0.601694915,0.47632312,0.791086351,0.565289256,0.683513839,11268
Logistic,0_5_combined.csv,70.71428571,52.15267728,70.96100279,76.63294285,0.8576148,0.114754098,0.53970894,0.399721448,0.662498405,0.178316247,0.712270804,0.707015131,0.703342618,0.715877437,0.707778556,0.711418685,11268
RandomForest,0_5_combined.csv,100,55.26410999,70.33426184,75.87859425,0.861429013,0.117647059,0.579002079,0.376044568,0.692527664,0.179223365,0.691099476,0.717261905,0.735376045,0.671309192,0.712550607,0.69352518,11268
