distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
1106.7012049702241,2475.408438574767,6,7,4,15.0,45,3.4615384615384617,71.6128645346903,105,-120,22.0,26.23076923076923,13.70656129323497,47,2,safe
1387.8020285477123,2391.4057227335043,6,9,4,30.0,135,9.0,68.36665854054884,105,-120,22.0,24.333333333333332,15.260697523012798,47,2,safe
1144.0083258513341,2161.9553098518218,5,7,3,22.5,30,2.5,70.84313657652378,105,-120,22.0,28.25,14.451787663353855,47,2,safe
759.9486995105524,1097.7059403569879,5,6,1,15.0,0,0.0,63.63961030678928,105,-90,17.0,21.545454545454547,15.14393749905244,47,2,safe
1011.7393556939977,1536.0364487947522,5,6,3,15.0,15,1.3636363636363635,61.83154935684345,105,-90,27.0,27.0,14.770978917519928,47,7,unsafe
1026.9480843392241,1381.035715548052,6,8,5,15.0,45,3.2142857142857144,73.95962080895279,120,-120,12.0,20.571428571428573,14.69068842943081,47,2,safe
943.2583996088089,1260.5040276102507,5,8,5,15.0,-15,-1.1538461538461537,71.4453488326741,120,-120,12.0,19.692307692307693,15.394227766299617,47,2,safe
1135.2407344194437,1570.2967072013903,11,11,4,0.0,0,0.0,59.31426319344967,105,-105,22.0,21.545454545454547,12.05188507596623,47,2,safe
1177.691173575428,1688.4006760819072,11,11,4,0.0,-15,-0.6818181818181818,59.91083250331003,105,-105,22.0,22.227272727272727,12.745522629827228,47,2,safe
1023.3918540569689,1485.369399995097,5,7,2,22.5,45,3.75,75.77722283113839,105,-120,17.0,22.416666666666668,15.871664128950759,47,2,safe
1018.5376642855185,1478.9145492014375,5,7,2,22.5,45,3.75,75.77722283113839,105,-120,14.5,22.0,16.072751268321593,47,2,safe
708.4447788716786,1527.1189432199512,6,7,1,15.0,-45,-3.4615384615384617,76.97113883149808,105,-120,12.0,20.846153846153847,15.951108733329017,47,2,safe
703.2196177446608,1494.0724948928946,6,7,1,15.0,-45,-3.4615384615384617,76.97113883149808,105,-120,12.0,20.46153846153846,16.33596967815023,47,2,safe
793.327707429108,1362.6269317007245,6,6,1,-7.5,-135,-11.25,74.78093005573012,90,-120,14.5,21.583333333333332,17.255232700707214,47,2,safe
841.4707174764142,1858.4726158692038,6,6,1,-7.5,-150,-12.5,76.19875327064085,90,-120,24.5,24.916666666666668,17.965050947758417,47,2,safe
1028.4062059161022,2008.7032660244188,5,5,1,0.0,30,3.0,92.66067126888301,120,-105,22.0,26.5,11.926860441876563,47,7,safe
193.31689987432935,1660.9421350861844,3,5,1,45.0,120,15.0,90.0,120,-105,27.0,28.875,13.448396744593758,47,7,safe
629.0191607343193,1289.7831548724034,3,3,1,-37.5,-165,-27.5,83.70334521391604,75,-120,29.5,27.0,18.027756377319946,47,2,safe
1147.1171017393592,1721.6025619571337,9,7,4,-15.0,15,0.9375,66.76026957517472,120,-120,19.5,20.75,13.635890143294644,47,2,safe
1098.8203029044967,1497.4888004698141,6,9,2,30.0,0,0.0,72.24956747275377,120,-120,17.0,24.0,14.352700094407323,47,2,safe
1075.0778398234686,1594.6488536576312,6,8,1,30.0,-15,-1.0714285714285714,74.67019321725397,120,-120,22.0,25.571428571428573,13.552618543578768,47,7,safe
1075.0778398234686,1594.6488536576312,6,8,1,30.0,-15,-1.0714285714285714,74.67019321725397,120,-120,22.0,25.571428571428573,13.552618543578768,47,7,safe
856.0033993457532,1119.3793201180515,5,4,1,-15.0,30,3.3333333333333335,72.72474743090476,105,-120,22.0,24.77777777777778,13.146843962443592,47,2,safe
1051.0754198174948,1728.987642987919,6,5,2,-30.0,-15,-1.3636363636363635,68.72510819102264,105,-120,27.0,26.09090909090909,12.936590427961553,42,2,safe
1237.7000338845407,1616.551473984876,6,5,1,-15.0,0,0.0,72.07950156219552,105,-120,37.0,32.45454545454545,12.145808378079442,47,12,safe
1184.4712410560965,1496.2530434199819,5,7,1,15.0,-60,-5.0,66.04922406811453,90,-90,32.0,28.25,13.863170633011771,47,2,safe
1140.0451772239387,1673.0405380579653,6,4,4,-22.5,15,1.5,63.08922253443927,105,-75,39.5,33.5,13.97318861248212,47,12,safe
1116.50825476338,2231.039043787259,7,9,1,30.0,-15,-0.9375,77.84637816719543,120,-120,22.0,23.25,13.863170633011771,47,2,safe
1035.523215626969,1510.328272879645,6,7,3,15.0,-60,-4.615384615384615,67.9496855277021,105,-120,27.0,25.846153846153847,14.955555457864293,47,2,safe
770.1975547545156,1435.2856454576413,3,3,2,7.5,-30,-5.0,98.2344135219425,120,-120,34.5,28.666666666666668,14.337208778404378,47,7,safe
1121.3603981943581,1828.241028773123,6,5,3,-15.0,-15,-1.3636363636363635,68.72510819102264,90,-105,32.0,29.727272727272727,11.354541815269814,47,2,safe
1058.6775374851077,1887.516151550774,7,5,2,-15.0,-75,-6.25,74.61358790461695,105,-105,12.0,19.916666666666668,15.871664128950759,47,2,safe
1227.0707016929434,2270.061469913163,10,11,1,15.0,45,2.142857142857143,79.81483673644459,120,-120,17.0,20.333333333333332,14.253932901995968,47,2,unsafe
1018.844977630096,1646.6679837151537,7,6,3,-30.0,-60,-4.615384615384615,67.18119982158294,120,-105,27.0,26.615384615384617,14.339501447928654,47,2,safe
1095.688716379267,1648.9281877946355,6,7,2,15.0,45,3.4615384615384617,69.40363034687338,105,-105,17.0,23.153846153846153,14.696133211186769,47,2,safe
1067.9698562528683,1625.0930606390948,4,4,1,-7.5,60,7.5,76.85213074469699,120,-90,34.5,32.625,13.792547806696195,47,2,safe
1070.3050455169828,1871.0310868894667,6,6,1,7.5,30,2.5,92.43240773668076,120,-120,19.5,23.25,16.59882023920174,47,2,safe
1006.3740171043924,1662.1336517509674,4,6,1,37.5,15,1.5,76.02795538484511,90,-120,24.5,24.0,12.288205727444508,42,7,safe
1045.4521207241683,1456.4297231073756,5,7,2,22.5,90,7.5,69.14658342969665,120,-90,22.0,23.666666666666668,10.671873729054747,42,12,safe
1081.4799731866328,1473.336265788349,8,8,2,0.0,-60,-3.75,50.72905971925756,75,-75,29.5,27.3125,15.254994059323655,47,2,safe
1019.6586207079577,1696.4624326197304,6,5,1,-30.0,45,4.090909090909091,73.23120862962301,120,-105,32.0,29.272727272727273,14.672738537789977,47,2,safe
901.2468655283043,1639.9213903662585,5,4,1,-45.0,-30,-3.3333333333333335,68.47546194724711,120,-90,32.0,29.77777777777778,13.966450099973928,47,2,safe
1000.9337737968555,1392.5451662059083,6,6,2,7.5,45,3.75,84.8804306068248,105,-105,17.0,20.333333333333332,14.9071198499986,47,2,safe
1001.4264505649677,1482.843431410099,6,5,2,-15.0,-45,-4.090909090909091,65.87930361371544,105,-105,27.0,28.818181818181817,13.189652844133555,47,7,safe
960.4922504525226,1238.9679150413324,5,4,2,-15.0,-60,-6.666666666666667,62.89320754704403,75,-90,32.0,28.11111111111111,13.698697784375504,42,2,safe
1000.9993128122464,1668.8120974247174,6,5,1,-30.0,-15,-1.3636363636363635,74.98760228109556,90,-105,32.0,27.90909090909091,16.070608663330628,47,2,safe
1064.8302274354608,1590.5152157863329,6,5,2,-15.0,45,4.090909090909091,75.70331390062914,120,-105,27.0,27.0,11.078234188139946,42,7,safe
1173.235278697932,1789.6857445732242,8,8,1,-7.5,15,0.9375,59.166574970586225,120,-105,24.5,22.0,13.693063937629153,47,2,safe
1402.0822146518187,2187.66153531406,7,7,3,0.0,30,2.142857142857143,78.73359887517358,120,-120,27.0,27.357142857142858,15.05517064882714,47,2,safe
1060.9182486776745,1880.2985126006956,5,6,3,45.0,60,5.454545454545454,74.66453902911175,90,-120,37.0,25.636363636363637,16.66391161802124,47,2,safe
1000.0022597824955,1183.643953195905,6,8,4,15.0,60,4.285714285714286,58.21319017374054,90,-105,22.0,20.928571428571427,12.842253283118003,47,2,safe
1051.201599962428,1514.216891248258,8,5,2,-30.0,-45,-3.4615384615384617,60.61811786106321,120,-105,32.0,28.153846153846153,13.323467750529826,47,7,safe
938.9701792416299,2173.9597239525483,6,7,1,15.0,150,11.538461538461538,84.8841884203824,120,-120,22.0,23.923076923076923,14.215168163520252,47,2,safe
1053.8393442710726,2001.9459172974648,7,9,2,15.0,0,0.0,61.61878771933119,90,-105,32.0,27.625,12.854352375751958,47,2,unsafe
920.2215378589752,1136.4545025299105,5,3,2,-15.0,-60,-7.5,59.055059055088584,90,-90,34.5,30.125,12.484365222148861,42,7,safe
1000.0675365844813,1576.0669165277095,5,6,3,30.0,45,4.090909090909091,71.82105863052924,90,-120,37.0,28.818181818181817,15.850541612875174,47,2,safe
1012.2875524264027,1620.662196100964,5,6,2,15.0,30,2.727272727272727,64.53905217926854,105,-90,32.0,27.0,12.431631210161221,42,2,safe
1001.1892462957518,1473.5290178406012,6,6,2,0.0,60,5.0,80.85480814398115,120,-120,14.5,19.5,13.149778198382917,47,2,safe
