distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
1233.6828070476188,1877.3333078063654,8,8,7,60.0,2880,125.21739130434784,133.69724283253112,345,0,27.0,26.0625,13.71800254227998,42,2,safe
1023.6356881798732,1516.9541062221601,5,4,3,105.0,1725,143.75,128.37323513879363,345,0,22.0,25.88888888888889,12.862041003100252,47,7,safe
1018.8094150443234,1630.8722467733369,5,5,3,75.0,1860,143.0769230769231,129.51890954217492,345,0,24.5,25.0,13.07669683062202,47,7,safe
1017.6019845685696,2686.9056793360337,9,10,5,90.0,3270,136.25,128.95614564649492,330,0,27.0,24.894736842105264,15.670605190483586,47,2,safe
1295.1052931817815,2417.411942011637,14,10,2,255.0,4920,189.23076923076923,118.40845463976595,330,0,17.0,19.08333333333333,13.913173214220002,47,2,safe
1215.021619070733,1878.3819920265555,10,11,1,90.0,3615,164.3181818181818,127.63847608974496,345,0,22.0,23.904761904761905,9.937446073671053,42,12,safe
1141.3120695492446,1872.5655484843576,4,4,1,105.0,1395,155.0,104.64224768228176,300,0,32.0,30.125,12.975337182516684,47,7,safe
1014.3807619008818,1961.1665057412695,7,7,3,90.0,2475,145.58823529411762,124.83968958983284,345,0,22.0,22.357142857142854,16.416921335087434,47,2,safe
735.1683105010045,995.8875468707358,6,4,2,187.5,2160,180.0,126.39224659764538,330,0,19.5,20.0,11.224972160321824,37,7,safe
1178.3609631275208,1740.8271247726127,10,7,3,180.0,3540,177.0,145.47680227445196,345,0,17.0,20.529411764705888,13.146762728604125,47,2,safe
1155.4850946181118,1664.5431128673083,8,8,1,120.0,2955,173.82352941176467,119.00975505944024,345,0,19.5,21.375,11.439378261076953,42,2,safe
1000.8292947821263,1433.6765963315079,2,3,1,90.0,750,125.0,97.082439194738,270,0,47.0,36.0,13.564659966250534,47,17,safe
1083.3532604960453,1594.3379986916889,8,6,2,180.0,2820,176.25,138.0387173947947,345,0,32.0,28.785714285714285,13.443950160513367,47,7,safe
1137.7620806692726,2223.8931113173285,7,6,4,105.0,2490,146.47058823529414,130.41522720867098,330,0,27.0,27.0,13.445044840729642,47,2,safe
1334.1426720339966,2296.7667471910613,9,13,5,75.0,3315,122.77777777777777,117.61781590084027,345,0,22.0,19.954545454545453,13.02611807355191,47,2,safe
1100.192522143328,2007.9695519073891,9,10,3,67.5,3195,145.22727272727272,132.4290313606025,345,0,12.0,17.526315789473685,14.499976119953589,47,2,safe
1104.2076208876497,1761.1587453867085,5,5,1,120.0,1860,169.0909090909091,118.64420036812477,345,0,29.5,27.0,13.038404810405297,47,2,safe
986.5869774870594,1890.0265613971148,7,9,1,105.0,2610,153.52941176470586,120.27865570125498,345,0,17.0,20.75,14.737282653189494,47,2,safe
1016.212404462416,1771.739554232933,9,6,3,180.0,3165,175.83333333333337,130.0774342032041,345,0,22.0,25.33333333333333,12.736648783028535,47,7,safe
1031.3142930699053,1740.9789446583165,6,5,2,105.0,2055,158.0769230769231,116.13219360079508,330,0,22.0,26.09090909090909,14.431370787625038,47,2,safe
