distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
126.80557642784213,202.07462883875863,1,2,0,75.0,465,155.0,134.90737563232042,345,45,37.0,28.66666666666667,15.456030825826176,42,7,safe
1017.8562495582453,1749.1919037408195,12,8,3,240.0,4275,185.8695652173913,135.5235594303829,345,0,17.0,18.5,11.412712210513327,42,2,safe
1036.4376261435098,1779.9572229891749,7,4,3,180.0,2430,173.5714285714286,137.79421213519524,345,0,37.0,32.90909090909091,13.453316897226125,47,7,safe
1094.384852851588,2499.2787343089512,9,10,4,90.0,3240,140.8695652173913,127.56628433802936,345,0,17.0,20.94736842105263,14.4712916682816,47,2,safe
1183.1181687554574,1761.7889154678705,6,5,1,187.5,2190,182.5,121.98872898755852,345,0,22.0,25.181818181818183,15.850541612875178,47,2,safe
1125.323196388971,1820.9625327833533,6,6,3,90.0,2190,146.0,133.65627557282897,345,0,37.0,35.75,7.9385662013573555,47,17,safe
1143.9820280720262,1941.4598216309134,7,5,3,105.0,2445,163.0,130.29197979921864,345,0,24.5,25.75,14.451787663353855,47,7,safe
1068.9290217411494,1406.5629770440648,4,5,1,82.5,1395,139.5,121.5,300,0,37.0,32.55555555555556,14.614384931073227,47,2,safe
1044.3191898126593,1497.8106833919967,6,8,4,67.5,2235,124.16666666666669,129.4995709988604,330,0,22.0,22.0,10.522085616183023,47,7,safe
1000.4691553908556,1763.2929893027067,6,5,6,90.0,2175,127.94117647058823,133.4834074677604,345,0,12.0,20.181818181818183,17.9990817029303,47,2,safe
1158.7195025793658,1900.2405955290085,8,6,4,105.0,2820,156.66666666666666,141.1756195508118,345,0,32.0,28.42857142857143,16.30387458644761,47,2,safe
1320.2029744957354,2102.9203624800675,8,7,5,67.5,2790,139.5,140.80039062445817,345,0,27.0,31.33333333333333,11.08552609887726,47,12,safe
1000.0022119308653,1370.0697217801985,5,5,2,90.0,1770,147.5,128.281916106675,345,0,32.0,28.5,12.459935794377113,42,7,safe
1126.9135228513414,1753.5154098361618,4,5,2,60.0,1320,120.0,117.93680896603449,285,0,32.0,30.88888888888889,12.422599874998832,47,12,safe
1022.5171550347363,1484.4101293696717,11,10,6,60.0,4035,149.44444444444446,139.61145377328955,345,0,17.0,19.61904761904762,14.769583256448405,47,2,safe
1154.7964056478268,1399.1684482452454,8,5,2,270.0,2805,187.0,139.62807740565648,330,0,27.0,30.461538461538463,10.262818510866412,47,12,safe
1018.8200511790095,1790.2740503460298,6,5,5,90.0,2160,135.0,127.27922061357857,330,0,27.0,22.0,11.870513506545993,37,2,safe
894.9952415706932,1072.4305330555467,4,3,2,90.0,1500,166.66666666666666,139.72194610089792,345,0,42.0,34.857142857142854,12.494896917525644,47,7,safe
