distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
1127.0829856426237,2041.3027310867637,10,7,4,120.0,3495,166.42857142857142,142.29532382925825,345,0,27.0,28.176470588235293,13.669352986614413,47,2,safe
1285.9354080620064,2517.616059079303,11,8,4,120.0,3900,169.56521739130434,123.17284641721145,345,0,17.0,17.789473684210527,12.59314327790042,47,2,unsafe
1027.1142515192287,1370.4040598769523,7,8,2,90.0,2490,146.47058823529412,131.82837222382514,315,0,22.0,26.333333333333332,13.64632632697248,47,2,unsafe
1302.5609219535277,1876.2002866641428,8,7,3,112.5,2790,155.0,125.39936203984452,345,0,22.0,24.333333333333332,16.316317667360558,47,2,unsafe
1092.6020953341754,1993.83374721631,6,6,2,97.5,2070,147.85714285714286,114.49757149193611,300,0,24.5,25.333333333333332,13.591255358583409,47,2,safe
1000.4303899950879,1669.3840692825866,7,5,1,240.0,2475,190.3846153846154,118.60505791623562,345,0,22.0,24.5,10.50793351076541,47,12,safe
1000.0039704649748,1484.1075537314555,7,7,2,112.5,2595,162.1875,131.86129964379236,345,0,17.0,20.571428571428573,11.406228159050938,42,2,safe
1033.5204457027198,1583.4295776215524,10,7,1,262.5,3570,198.33333333333334,129.18548250050736,345,0,22.0,22.58823529411765,14.129896646428605,47,2,safe
1000.7122078063486,1578.272730789398,5,5,2,97.5,1785,148.75,119.75887232268012,315,0,24.5,27.0,16.431676725154983,47,2,safe
1043.1347566058814,1509.5631609020256,5,6,2,90.0,1815,139.6153846153846,126.65005600626685,315,0,27.0,28.818181818181817,13.3608531424537,47,2,safe
1077.4979261094584,2261.601079642718,8,7,3,120.0,2970,165.0,125.39936203984452,345,0,22.0,23.0,14.39907404430345,47,2,unsafe
147.25629494460927,400.9073133059019,1,1,1,120.0,375,125.0,104.1633332799983,255,0,27.0,27.0,10.0,37,17,safe
1223.9261693828314,1798.7938693795925,6,10,5,45.0,2145,102.14285714285714,116.52274893945886,330,0,22.0,20.75,10.680004681646913,37,2,safe
1342.9327613997143,2051.742486159274,8,9,3,90.0,2820,141.0,124.72569903592444,330,0,17.0,19.058823529411764,11.76470588235294,47,2,unsafe
