distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
1036.8493669243546,1495.017783736211,6,7,3,105.0,2100,131.25,120.05857945186591,315,0,17.0,21.23076923076923,14.655814525582809,42,2,unsafe
1000.002211834374,1256.3197615640067,9,6,2,270.0,3270,192.35294117647058,143.25129757197791,345,0,32.0,23.666666666666668,15.238839267549947,47,2,unsafe
896.4136876226972,1100.4956258014015,6,5,4,105.0,2190,146.0,132.30268326832982,330,0,17.0,17.454545454545453,9.875254992000196,32,2,unsafe
1026.0796431609704,1755.9375728747834,6,8,2,75.0,2250,140.625,129.456496071074,345,0,29.5,25.214285714285715,13.576127006248726,42,2,unsafe
1004.0029072199164,1353.2571896853233,7,7,3,60.0,2505,147.35294117647058,133.29663566491382,330,0,27.0,27.0,9.819805060619657,42,7,unsafe
1300.9332876694552,2054.713814434041,11,16,5,45.0,4020,125.625,135.14315326719293,345,0,17.0,19.962962962962962,12.856707376081319,47,2,unsafe
1021.9576084213229,1606.930066663081,7,6,1,195.0,2550,182.14285714285714,118.76919823329446,330,0,22.0,23.53846153846154,14.329181546305506,47,2,unsafe
1255.2160009615754,2270.884604003767,8,7,3,105.0,2940,163.33333333333334,127.26830800408332,345,0,27.0,24.0,15.033296378372908,47,2,unsafe
1302.830906946995,1761.1549520477477,9,9,2,112.5,3315,165.75,135.62148612959527,345,0,32.0,25.61111111111111,15.794298862032775,47,2,unsafe
1010.9602932302755,1704.5358185585387,5,7,2,82.5,1725,123.21428571428571,110.97952100109575,315,0,19.5,21.166666666666668,13.514395616855712,42,2,unsafe
1381.198881413699,2614.021156975651,15,11,5,120.0,5325,171.7741935483871,138.3634087554009,345,0,17.0,21.423076923076923,15.462543021327072,47,2,unsafe
1001.0296734611113,2081.6190992078477,5,6,1,112.5,1860,155.0,110.7925990308017,345,0,22.0,21.545454545454547,16.160353486028345,47,2,unsafe
1000.4295252102726,1402.426226484398,8,9,4,60.0,2955,140.71428571428572,140.52017067790283,345,0,22.0,22.88235294117647,10.323487514578968,37,7,unsafe
1190.876425771852,2264.4058643288713,5,7,6,60.0,1785,99.16666666666667,113.70343979942832,315,0,24.5,23.25,13.248427579653871,42,7,unsafe
1082.0961132677119,1753.4806779460682,6,5,4,105.0,2070,138.0,126.83059567785685,315,0,17.0,20.636363636363637,13.995276653036957,47,2,unsafe
1208.089673838449,2518.2957723474906,13,11,4,120.0,4605,164.46428571428572,134.25282176945564,345,0,19.5,21.166666666666668,13.281147875424358,47,2,unsafe
1212.8280562118698,1484.7654004166964,5,7,3,60.0,1725,115.0,120.0833044182246,315,0,27.0,27.833333333333332,13.66768288904727,47,7,unsafe
1105.9266620530398,1487.7264966926898,5,5,4,82.5,1770,126.42857142857143,125.84611594308018,330,0,27.0,26.5,12.134661099511597,47,2,unsafe
1033.6375585290716,1319.3307275995382,4,4,2,90.0,1440,144.0,119.84990613262907,315,0,29.5,28.25,14.086784586980807,47,7,unsafe
1099.2925027984966,1675.3453163818153,12,13,6,60.0,4305,138.8709677419355,138.37017717456874,345,0,12.0,17.8,14.46927779814874,47,2,unsafe
1071.879031827615,1283.8670432445283,10,6,4,195.0,3585,179.25,138.08760806096976,345,0,17.0,20.4375,11.280341029862528,42,7,unsafe
1202.6320935214462,1900.4688661392652,8,11,4,45.0,2910,126.52173913043478,133.4934844738702,345,0,27.0,23.31578947368421,12.961695111605001,47,2,unsafe
1003.7620669358314,1363.6981804235445,9,7,5,60.0,3180,151.42857142857142,150.634711559224,345,0,27.0,24.1875,10.150238605569822,42,7,unsafe
1029.8564920803808,1616.848425675086,8,7,3,97.5,2880,160.0,128.4523257866513,345,0,17.0,23.333333333333332,13.719410418171119,47,7,unsafe
1036.4143775474977,1729.5018981121898,9,10,3,82.5,3255,147.95454545454547,135.40057649693549,345,0,12.0,19.36842105263158,13.895135560467457,47,2,unsafe
1065.818262073917,1587.3291477996866,7,8,3,75.0,2595,144.16666666666666,138.3960701111929,345,0,22.0,24.666666666666668,13.399834161494521,47,2,unsafe
1162.3701394281763,2325.642083779977,14,13,2,120.0,5010,172.75862068965517,126.4610217098162,345,0,17.0,18.48148148148148,12.458435697447527,42,2,unsafe
1012.8117584088217,2020.6294065324773,13,9,2,270.0,4665,194.375,134.96382617205248,345,0,19.5,19.954545454545453,12.76172285578769,42,2,unsafe
1057.42384401514,1577.5115626456293,7,8,3,105.0,2505,139.16666666666666,124.98055404297457,345,0,22.0,21.666666666666668,11.175369742826806,37,2,unsafe
1066.1623866408388,2227.752754406366,8,10,3,60.0,2895,137.85714285714286,131.2265528133133,345,0,17.0,23.11111111111111,15.41604102834623,47,2,unsafe
1161.4160398784015,1846.6757292720993,10,12,3,90.0,3585,143.4,132.685492801587,345,0,27.0,24.954545454545453,14.667457091147774,47,2,unsafe
1065.328713370683,1813.4782238318455,6,8,3,75.0,2235,131.47058823529412,126.70907746258231,345,0,22.0,21.642857142857142,11.411818077621755,37,2,unsafe
1035.2413330870131,1638.2558070363793,4,5,1,90.0,1395,139.5,111.45514792955954,315,0,27.0,29.77777777777778,12.272623352430289,47,7,unsafe
1098.7156897723366,1706.3553113562336,6,7,6,75.0,2235,117.63157894736842,119.63066431678521,345,0,17.0,15.076923076923077,12.331707339908766,42,2,unsafe
1034.9205357390076,1562.8340650916111,9,11,2,67.5,3165,143.86363636363637,138.71104545864904,330,0,19.5,24.0,14.265342617687105,47,2,unsafe
1241.203907620823,2028.3042178749029,8,9,7,60.0,2835,118.125,124.39698298190355,330,0,22.0,24.352941176470587,12.961214433253357,47,2,unsafe
1073.0859535222298,1709.960800877979,9,7,5,105.0,3120,148.57142857142858,133.11419066013227,345,0,22.0,20.75,11.110243021644486,42,2,unsafe
1000.1424196146803,1092.1537429113062,6,8,3,45.0,2220,130.58823529411765,139.74643374320732,345,0,27.0,26.285714285714285,14.374722712498649,47,2,unsafe
1006.6098536664333,1515.918758794988,4,6,1,60.0,1455,132.27272727272728,120.30951818243334,315,0,34.5,30.5,15.337861650177967,47,7,unsafe
1010.0840836037385,1804.2770738391994,8,6,4,112.5,2895,160.83333333333334,135.44422796446105,345,0,19.5,20.928571428571427,15.139655995876174,47,2,unsafe
92.7780526354085,213.40801970107842,1,2,0,60.0,435,145.0,120.20815280171308,315,60,17.0,22.0,14.719601443879744,42,7,safe
1381.577508829094,2120.48444017476,7,8,3,82.5,2595,144.16666666666666,133.8038572770689,345,0,32.0,26.666666666666668,17.55625877635159,47,2,unsafe
1056.7548635952078,1477.890732235662,8,7,2,120.0,2745,161.47058823529412,117.49549060035746,330,0,22.0,22.333333333333332,16.579773487261182,47,2,unsafe
1047.2126698970637,2326.1448045954135,9,9,4,112.5,3330,151.36363636363637,125.41007116820096,345,0,14.5,18.11111111111111,14.294089255854008,47,2,unsafe
1178.4073771672945,1835.131045027758,5,6,1,97.5,1905,158.75,120.69460427044781,330,0,42.0,30.181818181818183,15.266232385224242,47,7,unsafe
1082.0926612119483,1670.517515924172,6,7,1,112.5,2205,157.5,123.7905777628376,315,0,22.0,25.076923076923077,10.476798824520182,47,7,unsafe
1153.8525636039801,1968.7603444547744,10,10,0,172.5,3675,183.75,121.29380651954163,345,15,19.5,21.75,12.295832627357937,47,2,unsafe
1036.1112838744632,1449.8079009706605,7,6,1,187.5,2520,180.0,126.39224659764538,345,0,17.0,22.384615384615383,13.931361750980642,47,2,unsafe
1000.9944558508241,1454.5091648425912,8,5,4,120.0,2925,172.05882352941177,145.44110212333794,345,0,27.0,25.846153846153847,12.733034890189884,42,2,unsafe
1264.87832128548,2296.9498449835446,8,10,3,75.0,2850,135.71428571428572,130.14905113063284,345,0,24.5,22.833333333333332,14.55354099714415,47,2,unsafe
1001.2469339579503,1294.5779142784263,3,4,2,60.0,1095,121.66666666666667,113.67595269986622,285,0,37.0,36.285714285714285,7.2843135908468355,47,27,safe
1047.0812419169013,1614.437694499594,10,10,2,105.0,3630,165.0,136.80610034245217,345,0,24.5,23.5,12.05197079319395,42,2,unsafe
1005.9242711475931,2314.851767516525,7,9,4,90.0,2550,127.5,122.18326399306903,345,0,22.0,25.125,15.194057226429022,47,7,unsafe
1081.70481229877,1569.2428044655862,7,4,2,255.0,2505,192.69230769230768,136.5736682670028,345,0,32.0,32.0,11.078234188139946,47,12,unsafe
1182.253359723534,1608.2402538618678,9,8,4,90.0,3240,154.28571428571428,135.05101077076054,345,0,27.0,24.058823529411764,12.373931745860371,42,2,unsafe
1002.8208281271743,1452.330266204286,4,5,2,75.0,1410,128.1818181818182,114.83729057142163,300,0,32.0,32.55555555555556,8.958064164776166,47,17,unsafe
1184.6953599940282,1848.0413502094384,11,8,1,285.0,3975,198.75,133.48103797918264,345,0,22.0,22.0,12.354415362426844,47,2,unsafe
986.1088457032146,1451.4087774750888,4,5,2,75.0,1455,132.27272727272728,122.16538038777294,300,0,27.0,22.0,14.337208778404378,42,2,unsafe
1036.4050976515716,1325.6675129053954,7,6,5,67.5,2490,138.33333333333334,139.51304200284966,345,0,22.0,22.384615384615383,15.374996993312834,47,2,unsafe
1003.9993326390683,1615.0437653202252,6,7,1,105.0,2190,156.42857142857142,118.74986573569208,315,0,22.0,22.0,11.26601424298216,42,2,unsafe
1000.1570904673567,1444.893715797285,5,6,2,75.0,1830,140.76923076923077,127.89488102233013,345,0,22.0,20.181818181818183,13.861773347251733,47,2,unsafe
892.9493449763494,1175.0817653244783,5,3,1,255.0,1695,188.33333333333334,118.133634311129,315,0,27.0,27.0,14.361406616345072,47,2,unsafe
1061.3379889490438,2085.390359306364,10,9,2,120.0,3540,168.57142857142858,127.77531299998799,345,0,22.0,21.210526315789473,14.713327103678276,47,2,unsafe
1022.6149997320923,1605.3484756120988,9,6,2,255.0,3165,186.1764705882353,137.6753364618957,345,0,27.0,25.333333333333332,14.220486005134362,47,2,unsafe
